# 'kelp' colormap from cmyt
0,20,6,117
8,32,14,122
16,43,20,126
25,54,26,130
33,66,32,133
41,76,38,135
49,85,44,135
58,94,50,134
66,103,57,133
74,111,64,132
82,117,71,130
90,124,78,129
99,130,87,128
107,135,95,128
115,139,103,128
123,143,111,129
132,146,120,132
140,150,128,135
148,153,137,139
156,156,145,142
165,158,154,147
173,161,163,152
181,163,172,156
189,165,181,159
197,168,191,161
206,174,199,159
214,182,207,157
222,193,214,153
230,207,222,149
239,220,229,144
247,235,235,139
255,250,242,133
