# 'apricity' colormap from cmyt
0,89,105,175
8,90,111,171
16,91,116,169
25,93,121,167
33,94,127,166
41,96,132,165
49,97,137,164
58,99,141,164
66,101,147,164
74,103,151,163
82,106,156,163
90,108,161,163
99,111,166,162
107,114,171,161
115,118,175,160
123,121,180,159
132,125,185,157
140,128,190,155
148,132,195,152
156,137,199,149
165,142,205,144
173,147,209,139
181,153,214,134
189,160,218,129
197,170,223,122
206,179,227,115
214,188,230,108
222,199,234,100
230,211,237,91
239,223,240,81
247,234,243,70
255,246,246,55
