f=433800000,d=LPD433 CH30
f=433825000,d=LPD433 CH31
f=433850000,d=LPD433 CH32
f=433875000,d=LPD433 CH33
f=433900000,d=LPD433 CH34
f=433925000,d=LPD433 CH35
f=433950000,d=LPD433 CH36
f=433975000,d=LPD433 CH37
f=434000000,d=LPD433 CH38
f=434025000,d=LPD433 CH39
f=434050000,d=LPD433 CH40
f=434075000,d=LPD433 CH41
f=434100000,d=LPD433 CH42
f=434125000,d=LPD433 CH43
f=434150000,d=LPD433 CH44
f=434175000,d=LPD433 CH45
f=434200000,d=LPD433 CH46
f=434225000,d=LPD433 CH47
f=434250000,d=LPD433 CH48
f=434275000,d=LPD433 CH49
f=434300000,d=LPD433 CH50
f=434325000,d=LPD433 CH51
f=434350000,d=LPD433 CH52
f=434375000,d=LPD433 CH53
f=434400000,d=LPD433 CH54
f=434425000,d=LPD433 CH55
f=434450000,d=LPD433 CH56
f=434475000,d=LPD433 CH57
f=434500000,d=LPD433 CH58
f=434525000,d=LPD433 CH59
